,county_state,all_pubs_tot_circ_household,tot_households_est,diff_margin_gop_2016_2012,diff_cvap_turnout_2016_2012,pct_uninsured,unemployment_rate,pct_white_nonhispanic,any_college_aggregate,fips,fips2,trump_win,margin_gop_2016,margin_gop_2012,combined_cvap_turnout_2016
2036,ESCAMBIA//FL,0.225197958825,113660.0,0.0563304651047,0.74712,14.1,4.9,65.5910187479,60.6617246806,12033.0,12033.0,1,20.6161903317,20.5598598666,63.786149
2037,KING//WA,0.225441071871,819651.0,-10.544018018,-0.642288,9.7,3.8,62.7975183746,75.842147538,53033.0,53033.0,0,-50.4343873618,-39.8903693438,68.455809
2038,RUSSELL//AL,0.225529427634,22241.0,9.84093214775,1.514396,16.3,5.2,49.8027511921,50.8723671801,1113.0,1113.0,0,-1.91785117057,-11.7587833183,45.350319
2039,MOULTRIE//IL,0.225556130367,5799.0,20.8645728537,2.144152,12.4,4.2,97.1796074228,47.4867465148,17139.0,17139.0,1,47.9465292318,27.0819563781,56.517363
2040,YELLOW MEDICINE//MN,0.225929456625,4196.0,29.0519396153,-0.588686,8.1,2.9,90.8145065398,53.627311522,27173.0,27173.0,1,35.3702646107,6.31832499537,69.864672
2041,MADISON//IA,0.226024096386,6225.0,19.2385454476,-0.571466,6.1,2.8,96.5290207108,55.0850661626,19121.0,19121.0,1,31.3269975361,12.0884520885,73.617494
2042,FRANKLIN//VA,0.226055457329,23189.0,13.6314070493,0.66365,13.1,4.0,87.0016869395,52.006924694,51067.0,51067.0,1,42.1786980041,28.5472909548,60.759217
2043,BALTIMORE CITY//MD,0.226356761933,242268.0,1.78655299334,-1.785129,10.3,5.8,28.0799866336,52.7511210122,24510.0,24510.0,0,-74.5698152933,-76.3563682867,53.07259
2044,BOONE//MO,0.226515377725,66980.0,-2.83689646341,0.00363,8.2,2.6,80.0327926451,73.2521456971,29019.0,29019.0,0,-5.9127136547,-3.07581719128,61.61809
2045,HUNTINGTON//IN,0.226519337017,14480.0,11.2000364555,1.88393,11.3,3.5,95.5917858015,46.3518794569,18069.0,18069.0,1,50.9765869538,39.7765504983,57.682461
2046,OTERO//CO,0.22658975047,7454.0,15.8714876529,2.655339,14.8,3.7,55.1206116735,55.9003707883,8089.0,8089.0,1,25.1885668916,9.31707923871,63.000196
2047,ROBERTSON//TN,0.226857676231,24641.0,11.6029333864,0.530869,11.8,4.0,84.1796932934,47.7838197758,47147.0,47147.0,1,47.1821610828,35.5792276964,54.998678
2048,DEKALB//AL,0.22692200056,25013.0,14.5090134165,4.963735,16.9,5.9,80.8873191873,37.2011772927,1049.0,1049.0,1,69.3743770605,54.865363644,52.831733
2049,THURSTON//NE,0.226967370441,2084.0,21.5850597842,-3.637224,28.9,5.0,38.5401670026,51.2908324552,31173.0,31173.0,1,5.02710694924,-16.5579528349,46.606869
2050,JASPER//IN,0.227242414138,11996.0,19.9380656102,1.890057,10.6,4.3,91.9666347764,45.1450360888,18073.0,18073.0,1,45.405445953,25.4673803429,54.412669
2051,FULTON//OH,0.227370756054,16229.0,22.7875150276,-0.911539,5.6,4.0,89.8175826762,49.4249649369,39051.0,39051.0,1,35.9445223022,13.1570072747,66.246039
2052,POLK//OR,0.227598566308,28458.0,2.24622953688,4.513406,10.3,4.5,79.6722924001,64.5161290323,41053.0,41053.0,1,6.99972994869,4.75350041181,67.658275
2053,ADAMS//PA,0.227947529652,38193.0,8.79954116729,4.861897,8.2,3.5,89.846413867,45.389042848,42001.0,42001.0,1,36.4292078578,27.6296666905,59.679788
2054,STERLING//TX,0.228381374723,451.0,-10.9682701102,10.32235,25.6,5.6,52.4517087667,46.4611872146,48431.0,48431.0,1,75.6714060032,86.6396761134,71.353531
2055,MCHENRY//ND,0.228527607362,2608.0,29.0540751908,2.079356,8.5,4.0,95.2724772219,52.721922511,38049.0,38049.0,1,56.4570152587,27.4029400678,62.876135
2056,SHASTA//CA,0.228612612613,69375.0,7.11356944151,3.470009,13.7,6.3,81.1704351131,63.4441621917,6089.0,6089.0,1,37.3735424649,30.2599730234,59.451997
2057,SAC//IA,0.229232864276,4406.0,28.5394988677,1.6922,6.9,2.3,95.7924957925,52.628643146,19161.0,19161.0,1,46.9755719271,18.4360730594,69.555724
2058,CROWLEY//CO,0.229255774166,1169.0,22.6121183227,-1.57564,12.1,2.6,61.142136552,44.3009545199,8025.0,8025.0,1,48.5109199206,25.8988015979,33.232355
2059,NORTHUMBERLAND//VA,0.229312404027,5861.0,12.7529572165,-1.789385,8.1,4.2,70.1397919376,57.0158204943,51133.0,51133.0,1,27.6296477495,14.876690533,72.086239
2060,PLYMOUTH//IA,0.229314657329,9995.0,17.6244320526,3.660685,5.7,2.7,94.081197441,56.4650832198,19149.0,19149.0,1,51.9338285977,34.309396545,74.349618
2061,BARAGA//MI,0.229657027572,2974.0,20.3767834334,0.753993,8.4,6.4,73.3256616801,38.3285302594,26013.0,26013.0,1,28.743545611,8.36676217765,51.229626
2062,BERKELEY//WV,0.229660169305,40991.0,15.9436365663,2.898618,10.8,3.1,85.1973805232,48.8361963357,54003.0,54003.0,1,37.2293663783,21.285729812,49.481058
2063,BENTON//OR,0.229787234043,33840.0,-5.00801174653,11.08706,8.4,3.3,82.254465576,80.0168795795,41003.0,41003.0,0,-33.7911665972,-28.7831548507,77.521497
2064,HALE//AL,0.229795849502,5927.0,5.47698547886,-3.174132,12.3,7.4,39.951494494,37.7665271152,1065.0,1065.0,0,-19.975031211,-25.4520166898,71.355665
2065,HORRY//SC,0.229825329718,118738.0,9.10414570821,-0.16554,19.4,4.9,76.9851752485,55.7749377752,45051.0,45051.0,1,37.820775403,28.7166296948,51.73251
2066,DAVIDSON//TN,0.229926081806,264211.0,-7.3195359097,-0.452334,15.2,3.6,56.8424585349,63.1903696764,47037.0,47037.0,0,-26.0390984529,-18.7195625432,52.557212
2067,GRIGGS//ND,0.229951690821,1035.0,26.4226653331,-1.700652,8.4,2.5,96.5650493774,50.7361268403,38039.0,38039.0,1,44.0256615878,17.6029962547,68.599224
2068,HARRISON//IA,0.230035158212,5973.0,24.7867443528,3.794247,8.2,2.6,96.8065251953,52.737552073,19085.0,19085.0,1,37.5304960694,12.7437517166,69.68866
2069,IMPERIAL//CA,0.230065443899,46452.0,-12.2838902855,5.817654,17.7,22.8,12.5904851688,44.4881632805,6025.0,6025.0,0,-41.1295537831,-28.8456634976,43.076476
2070,ARKANSAS//AR,0.230789099832,7743.0,8.41813562782,-0.406128,12.7,3.2,70.3219262186,39.6230787055,5001.0,5001.0,1,30.5821306956,22.1639950678,45.725206
2071,CALHOUN//TX,0.230798098574,7994.0,11.9859250597,1.809955,17.5,5.8,44.0598172251,48.0733180587,48057.0,48057.0,1,36.2225097025,24.2365846428,45.133683
2072,OWYHEE//ID,0.230847543904,3929.0,10.1080363652,1.92135,27.5,4.5,68.5498064062,37.7412731006,16073.0,16073.0,1,62.7806122449,52.6725758797,53.776938
2073,FLUVANNA//VA,0.230916995248,9891.0,3.15843319263,8.784747,8.7,3.1,78.6960867225,60.2375013556,51065.0,51065.0,1,9.39075007412,6.23231688148,73.574865
2074,ESSEX//VA,0.231301939058,4332.0,9.34980243122,-3.7032,12.9,4.7,55.2775535826,43.7675606641,51057.0,51057.0,1,2.16660440792,-7.1831980233,61.441261
2075,HOLT//NE,0.231415929204,4520.0,13.7425534264,4.6476,9.2,2.2,94.8932487017,58.0720894904,31089.0,31089.0,1,75.3765816429,61.6340282165,67.784452
2076,GREENE//IA,0.231729055258,3927.0,23.6672610428,1.435041,5.2,2.1,95.3891432309,55.8796007486,19073.0,19073.0,1,23.7505249895,0.0832639467111,70.604604
2077,OCONTO//WI,0.231886865556,15486.0,27.4503902074,1.022214,6.8,3.6,95.5224677127,46.5282643165,55083.0,55083.0,1,36.9855450713,9.53515486389,68.70389
2078,HOWARD//IA,0.231962761831,3867.0,41.8493418646,1.150936,7.5,2.6,96.7769117337,44.5495425647,19089.0,19089.0,1,20.7898824051,-21.0594594595,66.368222
