,county_state,all_pubs_tot_circ_household,tot_households_est,diff_margin_gop_2016_2012,pct_uninsured,unemployment_rate,pct_white_nonhispanic,any_college_aggregate,fips,fips2,trump_win,margin_gop_2016,margin_gop_2012,turnoutcvap
1440,PLAQUEMINES//LA,0.172277687485,8614.0,5.54706637677,12.0,5.0,66.4943429806,40.7799074686,22075.0,22075.0,1,33.6076428301,28.0605764533,0.60180193
1441,IOWA//WI,0.172566828362,9689.0,14.9968555427,6.1,2.9,96.2219697926,56.8114719528,55049.0,55049.0,0,-15.3427369463,-30.339592489,0.69749868
1442,GREENE//NC,0.172943782886,7222.0,2.121059015,16.7,4.7,47.4962490623,43.4219449342,37079.0,37079.0,1,9.83401971796,7.71296070295,0.53924471
1443,ROANE//WV,0.173024523161,5872.0,27.970373814,11.1,8.6,97.1576933588,32.0198928845,54087.0,54087.0,1,48.7581199847,20.7877461707,0.43915993
1444,MARIPOSA//CA,0.173042886317,7345.0,5.89197933723,9.1,6.6,81.730282759,60.9848761599,6043.0,6043.0,1,23.239833277,17.3478539398,0.62713718
1445,FOUNTAIN//IN,0.17306862322,6951.0,21.8254517957,10.5,4.7,95.742539081,43.5054907344,18045.0,18045.0,1,55.9941129248,34.1686611291,0.55456597
1446,CONVERSE//WY,0.1731548353,5677.0,11.1620428067,10.6,5.3,89.1284306078,53.3249025187,56009.0,56009.0,1,74.0537240537,62.891681247,0.60593277
1447,HILL//MT,0.173506237689,6092.0,20.8050732956,17.3,3.8,71.2037765539,62.1372415801,30041.0,30041.0,1,17.2680006302,-3.53707266538,0.57139027
1448,WABAUNSEE//KS,0.173538230885,2668.0,6.51362187363,8.1,4.0,93.6544233243,56.1209593326,20197.0,20197.0,1,47.4550898204,40.9414679467,0.62185121
1449,MADISON//GA,0.17361451692,10195.0,2.94283858333,16.6,5.3,83.9402096911,41.6874221669,13195.0,13195.0,1,56.6931770615,53.7503384782,0.52828294
1450,GOSPER//NE,0.173637515843,789.0,11.2128205128,9.0,2.1,96.8623481781,59.8849748382,31073.0,31073.0,1,62.7,51.4871794872,0.63927311
1451,PAWNEE//NE,0.173671689136,1261.0,14.9183460935,15.1,2.2,97.2853998533,47.4404460213,31133.0,31133.0,1,52.5875190259,37.6691729323,0.62210631
1452,NASSAU//FL,0.173673426129,28306.0,1.66479441985,15.1,4.5,87.2113863996,54.0419575268,12089.0,12089.0,1,50.2224036788,48.5576092589,0.69067848
1453,SAGADAHOC//ME,0.173969490425,15405.0,9.99268278516,8.3,3.0,94.8278809985,62.0049793822,23023.0,23023.0,0,-6.36691979996,-16.3596025851,0.74864948
1454,NODAWAY//MO,0.174038572583,8659.0,13.8162939573,10.5,3.6,93.0302768912,50.2440976391,29147.0,29147.0,1,40.788219091,26.9719251337,0.47120145
1455,KNOX//ME,0.174480851815,16999.0,8.26614338337,12.9,3.5,95.929310475,58.2050937437,23013.0,23013.0,0,-14.2999869684,-22.5661303518,0.69444227
1456,SHERIDAN//ND,0.174578866769,653.0,12.1485404354,7.0,4.2,98.2049364248,49.3358633776,38083.0,38083.0,1,71.0594315245,58.9108910891,0.75881058
1457,DUVAL//FL,0.174593074874,337900.0,-2.11745359059,15.0,5.0,55.2073544387,60.0016067376,12031.0,12031.0,1,1.50069740212,3.61815099271,0.63704395
1458,ST. LAWRENCE//NY,0.174696615117,41449.0,27.4197842542,9.6,6.0,92.1677335262,51.8503106968,36089.0,36089.0,1,10.7839790635,-16.6358051906,0.42689934
1459,WHITE//IL,0.174850105331,6171.0,21.9807276346,8.7,5.7,96.951050885,52.5683271952,17193.0,17193.0,1,57.9914940321,36.0107663975,0.62257487
1460,ORLEANS//NY,0.1751998002,16016.0,24.0125942673,8.5,5.1,86.8235238366,45.6293942672,36073.0,36073.0,1,43.3859586174,19.3733643501,0.44745025
1461,LUBBOCK//TX,0.175460293844,107540.0,-2.52768353185,17.6,3.1,55.6358371564,58.8018595892,48303.0,48303.0,1,38.3540689374,40.8817524692,0.42679098
1462,LAWRENCE//OH,0.175556310515,23548.0,28.3860027392,10.4,5.6,94.982774516,42.8985033505,39087.0,39087.0,1,43.8976453813,15.5116426422,0.53991848
1463,WASHBURN//WI,0.175605657471,7141.0,20.6323968825,8.9,4.4,94.7643312102,52.5655254845,55129.0,55129.0,1,23.4131802627,2.78078338022,0.74023908
